RecordID,paper_name,Attack Name,Objective,Threat Model,Attacker Knowledge,is Backdoor,Attack Type,Attack Phase,Domain,Task Type,Applicable in the physical domain,Description,Attack's success rate - digital domain,Attack's success rate - physical domain,Attacked models,Datasets,Reference
0.0,103_Overtheairadversarialattacksondeeplearningbasedmodulationclassifieroverwirelesschannels.pdf,WBAA-LCI,Integrity,Gradient Based,WhiteBox,False,Evasion,Serving,Cyber,Classification,yes,Attack with limited channel info.,,,VT-CNN2,RML2016.10a,http://vixra.org/abs/2002.0202
0.0,103_Overtheairadversarialattacksondeeplearningbasedmodulationclassifieroverwirelesschannels.pdf,UAP-Pre-Collected,Integrity,Gradient Based,WhiteBox,False,Evasion,Serving,Cyber,Classification,yes,UAP with pre-collected input data.,,,VT-CNN2,RML2016.10a,http://vixra.org/abs/2002.0202
0.0,103_Overtheairadversarialattacksondeeplearningbasedmodulationclassifieroverwirelesschannels.pdf,UAP-Limited-Channel-Info,Integrity,Gradient Based,WhiteBox,False,Evasion,Serving,Cyber,Classification,yes,UAP with limited channel info.,,,VT-CNN2,RML2016.10a,http://vixra.org/abs/2002.0202
0.0,103_Overtheairadversarialattacksondeeplearningbasedmodulationclassifieroverwirelesschannels.pdf,BB-UAP,Integrity,Interactive,BlackBox,False,Evasion,Serving,Cyber,Classification,yes,Black-box UAP attack.,,,VT-CNN2,RML2016.10a,http://vixra.org/abs/2002.0202
0.0,105_SquareAttackAQueryEfficientBlackBoxAdversarialAttackviaRandomSearch.pdf,Square Attack,Integrity,Interactive,BlackBox,False,Evasion,Serving,Computer Vision,Classification,no,Query-efficient black-box attack without gradient information.,100%,0.0,"['Inception v3', 'ResNet-50', 'VGG-16-BN']",['ImageNet'],https://github.com/max-andr/square-attack
0.0,105_SquareAttackAQueryEfficientBlackBoxAdversarialAttackviaRandomSearch.pdf,Square Attack,Integrity,Interactive,BlackBox,False,Evasion,Serving,Computer Vision,Classification,no,Query-efficient black-box attack without gradient information.,Varies by model,0.0,"['Inception v3', 'ResNet-50', 'VGG-16-BN']",['ImageNet'],https://github.com/max-andr/square-attack
0.0,106_AdvwatermarkANovelWatermarkPerturbationforAdversarialExamples.pdf,Adv-watermark,Integrity,Interactive,BlackBox,False,Evasion,Serving,Computer Vision,Classification,yes,Uses watermarks to create adversarial examples.,97%,,"['AlexNet', 'VGG19', 'SqueezeNet1_0', 'ResNet101', 'InceptionV3']","['ImageNet', 'CASIA-WebFace']",https://doi.org/10.1145/3394171.3413976
0.0,108_AdvHatRealWorldAdversarialAttackonArcFaceFaceIDSystem.pdf,AdvHat,Integrity,Gradiant Based,WhiteBox,False,Evasion,Serving,Computer Vision,Classification,yes,Printed sticker on hat confuses ArcFace.,,>0.5,"['LResNet100E-IR, ArcFace@ms1m-refine-v2', 'LResNet50E-IR', 'LResNet34E-IR', 'MobileFaceNet']","CASIA-WebFace, MS-Celeb-1M",https://arxiv.org/abs/1904.08653
0.0,10_Understandingadversarialattacksondeeplearningbasedmedicalimageanalysissystems.pdf,FGSM,Integrity,Gradient Based,WhiteBox,False,Evasion,Serving,Computer Vision,Classification,no,Single step gradient attack.,Based on accuracy drop,,['ResNet-50'],"['Fundoscopy', 'Chest X-Ray', 'Dermoscopy']",https://doi.org/10.1016/j.patcog.2020.107332
0.0,10_Understandingadversarialattacksondeeplearningbasedmedicalimageanalysissystems.pdf,BIM,Integrity,Gradient Based,WhiteBox,False,Evasion,Serving,Computer Vision,Classification,no,Iterative gradient attack with small steps.,Based on accuracy drop,,['ResNet-50'],"['Fundoscopy', 'Chest X-Ray', 'Dermoscopy']",https://doi.org/10.1016/j.patcog.2020.107332
0.0,10_Understandingadversarialattacksondeeplearningbasedmedicalimageanalysissystems.pdf,PGD,Integrity,Gradient Based,WhiteBox,False,Evasion,Serving,Computer Vision,Classification,no,First-order attack with random initialization.,Based on accuracy drop,,['ResNet-50'],"['Fundoscopy', 'Chest X-Ray', 'Dermoscopy']",https://doi.org/10.1016/j.patcog.2020.107332
0.0,10_Understandingadversarialattacksondeeplearningbasedmedicalimageanalysissystems.pdf,CW,Integrity,Gradient Based,WhiteBox,False,Evasion,Serving,Computer Vision,Classification,no,Optimization-based high-confidence attack.,Based on accuracy drop,,['ResNet-50'],"['Fundoscopy', 'Chest X-Ray', 'Dermoscopy']",https://doi.org/10.1016/j.patcog.2020.107332
0.0,112_AdversarialDetectionAvoidanceAttacksEvaluatingtherobustnessofperceptualhashingbasedclientsidescanning.pdf,General Black-Box Attack,Integrity,Interactive,BlackBox,False,Evasion,Serving,Computer Vision,Classification,no,Black-box attack on perceptual hashing algorithms with high success.,99.9%,0.0,Client-side scanning mechanisms,ImageNet ILSVRC 2012,https://www.usenix.org/conference/usenixsecurity22/presentation/jain
0.0,112_AdversarialDetectionAvoidanceAttacksEvaluatingtherobustnessofperceptualhashingbasedclientsidescanning.pdf,White-Box DCT Attack,Integrity,Gradiant Based,WhiteBox,False,Evasion,Serving,Computer Vision,Classification,no,Optimal evasion attacks on DCT-based hashing.,Not stated,0.0,DCT-based hashing algorithms,ImageNet ILSVRC 2012,https://www.usenix.org/conference/usenixsecurity22/presentation/jain
0.0,113_SLAPImprovingPhysicalAdversarialExampleswithShortLivedAdversarialPerturbations.pdf,SLAP,Integrity,Interactive,WhiteBox,False,Evasion,Serving,Computer Vision,Classification,yes,Projecting adversarial perturbations onto objects,,99%,"['Yolov3', 'Mask-RCNN', 'Lisa-CNN', 'Gtsrb-CNN']","['LISA', 'GTSRB']",https://www.usenix.org/conference/usenixsecurity21/presentation/lovisotto
0.0,114_HybridBatchAttacksFindingBlackboxAdversarialExampleswithLimitedQueries.pdf,Hybrid Batch Attacks,Integrity,Interactive,BlackBox,False,Evasion,Serving,Computer Vision,Classification,no,Combines transfer and optimization attacks,Varies,0.0,"['MNIST model A', 'CIFAR10 DenseNet', 'ImageNet DenseNet']","['MNIST', 'CIFAR10', 'ImageNet']",https://www.usenix.org/conference/usenixsecurity20/presentation/suya
0.0,114_HybridBatchAttacksFindingBlackboxAdversarialExampleswithLimitedQueries.pdf,Seed Prioritization Strategy,Integrity,Interactive,BlackBox,False,Evasion,Serving,Computer Vision,Classification,no,Prioritizes seeds for efficiency,Varies,0.0,"['MNIST model A', 'CIFAR10 DenseNet', 'ImageNet DenseNet']","['MNIST', 'CIFAR10', 'ImageNet']",https://www.usenix.org/conference/usenixsecurity20/presentation/suya
0.0,115_DevilsWhisperAGeneralApproachforPhysicalAdversarialAttacksagainstCommercialBlackboxSpeechRecognitionDevices.pdf,Devil's Whisper,Integrity,Interactive,BlackBox,False,Evasion,Serving,Speech,Classification,Yes,Adversarial audio to control speech recognition devices,See paper for percentages,See paper for percentages,"['Google Cloud Speech-to-Text API', 'Microsoft Bing Speech Service API', 'Amazon Transcribe API', 'IBM Speech to Text API', 'Apple Siri']",Custom TTS and Mini Librispeech,https://www.usenix.org/conference/usenixsecurity20/presentation/chen-yuxuan
0.0,116_AreAlphaZerolikeAgentsRobusttoAdversarialPerturbations.pdf,GoAttack,Integrity,Interactive,BlackBox,False,Evasion,Serving,Computer Vision,Classification,no,Adding meaningless actions to Go states,58%,,"['PV-NN', 'MCTS']","['AlphaGo Zero', 'NoGo']",https://PaperCode.cc/GoAttack
0.0,117_DecisionbasedBlackboxAttackAgainstVisionTransformersviaPatchwiseAdversarialRemoval.pdf,PAR,Integrity,Interactive,BlackBox,False,Evasion,Serving,Computer Vision,Classification,no,Patch-wise noise compression,,,"['vit-s32', 'vit-b16', 'vit-b32', 'r50-l32', 'r50-s32', 'vit-large-patch16-224', 'vit-tiny-patch16-224', 'vit-small-r26-s32-224', 'vit-small-patch16-224', 'resnet-18', 'resnet-101', 'inceptionv3', 'inception-resnetv2', 'nasnet', 'densenet-161', 'vgg19-bn', 'senet-154']","['ImageNet-21k', 'ILSVRC-2012', 'Tiny-Imagenet']",
0.0,118_PracticalAdversarialAttacksonSpatiotemporalTrafficForecastingModels.pdf,STPGD-TDNS,Integrity,Gradient Based,WhiteBox,False,Evasion,Serving,Cyber,Regression,no,Gradient-guided evasion attack,67.8%,0.0,['GraphWaveNet'],"['PEMS-BAY', 'METR-LA']",https://github.com/usail-hkust/Adv-ST
0.0,118_PracticalAdversarialAttacksonSpatiotemporalTrafficForecastingModels.pdf,STMIM-TDNS,Integrity,Gradient Based,WhiteBox,False,Evasion,Serving,Cyber,Regression,no,Momentum iterative evasion attack,68.65%,0.0,['GraphWaveNet'],"['PEMS-BAY', 'METR-LA']",https://github.com/usail-hkust/Adv-ST
0.0,119_EADElasticnetattackstodeepneuralnetworksviaadversarialexamples.pdf,EAD,Integrity,Gradient Based,WhiteBox,False,Evasion,Serving,Computer Vision,Classification,no,Uses elastic-net regularization for adversarial examples.,,,"['MNIST', 'CIFAR10', 'Inception-v3']","['MNIST', 'CIFAR10', 'ImageNet']",https://arxiv.org/abs/1709.04114
0.0,11_GeneralizabilityvsRobustnessInvestigatingMedicalImagingNetworksUsingAdversarialExamples.pdf,Adversarial Crafting,Integrity,Gradiant Based,WhiteBox,False,Evasion,Serving,Computer Vision,Classification,no,Crafting examples to fool medical imaging models.,,,"['InceptionV3', 'InceptionV4', 'MobileNet']",Dermofit Image Library,Not provided in the user input
0.0,11_GeneralizabilityvsRobustnessInvestigatingMedicalImagingNetworksUsingAdversarialExamples.pdf,Adversarial Crafting,Integrity,Gradiant Based,WhiteBox,False,Evasion,Serving,Computer Vision,Semi supervised,no,Crafting examples to fool medical imaging models.,,,"['SegNet', 'UNet', 'DenseNet']",OASIS Dataset,Not provided in the user input
0.0,120_WassersteinadversarialexamplesviaprojectedSinkhorniterations.pdf,Projected Sinkhorn,Integrity,Gradient Based,WhiteBox,False,Evasion,Serving,Computer Vision,Classification,no,Image perturbation within Wasserstein ball radius.,3%,,"['Standard CIFAR10', 'Adversarially trained CIFAR10', 'ℓ∞ robust CIFAR10']","['MNIST', 'CIFAR10']",Provided text
0.0,120_WassersteinadversarialexamplesviaprojectedSinkhorniterations.pdf,Projected Sinkhorn,Integrity,Gradient Based,WhiteBox,False,Evasion,Serving,Computer Vision,Classification,no,Image perturbation within Wasserstein ball radius.,76%,,['Adversarially trained CIFAR10'],"['MNIST', 'CIFAR10']",Provided text
0.0,121_Simpleiterativemethodforgeneratingtargeteduniversaladversarialperturbations.pdf,Targeted UAP,Integrity,Gradient Based,WhiteBox,False,Evasion,Serving,Computer Vision,Classification,no,Targeted UAPs for misclassification.,65%,,"['VGG-20', 'ResNet-20']",['CIFAR-10'],https://www.mdpi.com/1999-4893/13/11/268
0.0,121_Simpleiterativemethodforgeneratingtargeteduniversaladversarialperturbations.pdf,Targeted UAP,Integrity,Gradient Based,WhiteBox,False,Evasion,Serving,Computer Vision,Classification,no,Targeted UAPs for misclassification.,61%,,"['VGG-16', 'VGG-19', 'ResNet-50']",['ImageNet'],https://www.mdpi.com/1999-4893/13/11/268
0.0,122_ColorFoolSemanticadversarialcolorization.pdf,ColorFool,Integrity,Interactive,BlackBox,False,Evasion,Serving,Computer Vision,Classification,no,Modifies image colors within chosen ranges to create perturbations.,High,,"['ResNet50', 'ResNet18', 'AlexNet']","['ImageNet', 'CIFAR-10', 'Private-Places365']",https://github.com/smartcameras/ColorFool
0.0,123_SquareattackAqueryefficientblackboxadversarialattackviarandomsearch.pdf,Square Attack,Integrity,Interactive,BlackBox,False,Evasion,Serving,Computer Vision,Classification,no,Uses randomized search with square-shaped updates for evasion.,High,,"['Inception v3', 'ResNet-50', 'VGG-16-BN']",['ImageNet'],https://github.com/max-andr/square-attack
0.0,124_Onepixelattackforfoolingdeepneuralnetworks.pdf,One Pixel Attack,Integrity,Interactive,BlackBox,False,Evasion,Serving,Computer Vision,Classification,no,Alter DNN output by changing one pixel.,42.005%,,"['AllConv', 'NiN', 'VGG16', 'AlexNet']","['CIFAR-10', 'ImageNet']",https://ieeexplore.ieee.org/document/8601309
0.0,125_Exploringthelandscapeofspatialrobustness.pdf,Spatial Transformation Attack,Integrity,Interactive,BlackBox,False,Evasion,Serving,Computer Vision,Classification,no,Adversarial rotations and translations.,79.67%,,"['MNIST model', 'CIFAR10 ResNet', 'ImageNet ResNet-50']","['MNIST', 'CIFAR10', 'ImageNet']",https://arxiv.org/abs/1712.02779
0.0,127_LearningtoattackAdversarialtransformationnetworks.pdf,ATN,Integrity,Gradient Based,WhiteBox,False,Evasion,Serving,Computer Vision,Classification,yes,Network transforms inputs to adversarial examples.,,,"['MNIST-digit classifiers', 'Inception ResNet-v2']","['MNIST', 'ImageNet']",Not provided
0.0,128_AttackasdefenseCharacterizingadversarialexamplesusingrobustness.pdf,A2D,Integrity,Gradiant Based,WhiteBox,False,Evasion,Serving,Computer Vision,Classification,yes,Evaluates robustness by attack cost,0%,,"['LeNet', '12-layer convnet', 'GooglLeNet', 'LeNet5', 'WRN', 'ResNet101']","['MNIST', 'CIFAR10', 'ImageNet']",https://doi.org/10.1145/3460319.3464822
0.0,129_CompositeAdversarialAttacks.pdf,CAA,Integrity,Gradient Based,WhiteBox,False,Evasion,Serving,Computer Vision,Classification,no,Searches for effective attack policies.,,,,,
0.0,12_AdversarialexamplessecuritythreatstoCOVIDdeeplearningsystemsinmedicalIoTdevices.pdf,Not provided,Integrity,Gradient Based,WhiteBox,False,Evasion,Serving,Cyber,Classification,Not provided,AEs designed to mislead COVID-19 DL diagnostics.,,,Not provided,Not provided,DOI 10.1109/JIOT.2020.3013710
0.0,12_AdversarialexamplessecuritythreatstoCOVIDdeeplearningsystemsinmedicalIoTdevices.pdf,Not provided,Integrity,Interactive,BlackBox,False,Evasion,Serving,Cyber,Classification,Not provided,Black-box approach with only I/O access.,,,Not provided,Not provided,DOI 10.1109/JIOT.2020.3013710
0.0,12_AdversarialexamplessecuritythreatstoCOVIDdeeplearningsystemsinmedicalIoTdevices.pdf,Not provided,Integrity,Interactive,BlackBox,True,Evasion,Training,Cyber,Classification,Not provided,Backdoor introduced during model training.,,,Not provided,Not provided,DOI 10.1109/JIOT.2020.3013710
0.0,130_Boostingadversarialattackswithmomentum.pdf,MI-FGSM,Integrity,Gradient Based,WhiteBox,False,Evasion,Serving,Computer Vision,Classification,no,Momentum iterative method for adversarial examples.,100%,,"['Inc-v3', 'Inc-v4', 'IncRes-v2', 'Res-152']",ImageNet,Not provided
0.0,130_Boostingadversarialattackswithmomentum.pdf,MI-FGSM,Integrity,Transferable,BlackBox,False,Evasion,Serving,Computer Vision,Classification,no,Momentum iterative method for adversarial examples.,87.9%,,"['Inc-v3_ens3', 'Inc-v3_ens4', 'IncRes-v2_ens']",ImageNet,Not provided
0.0,131_ImperceptibleRobustandTargetedAdversarialExamplesforAutomaticSpeechRecognition.pdf,Imperceptible Robust Targeted,Integrity,Gradient Based,WhiteBox,False,Evasion,Serving,Speech,Classification,yes,Imperceptible and robust adversarial examples for ASR,100%,60%,['Lingvo ASR'],['LibriSpeech'],http://cseweb.ucsd.edu/~yaq007/imperceptible-robust-adv.html
0.0,132_HotFlipWhiteBoxAdversarialExamplesforTextClassification.pdf,HotFlip,Integrity,Gradiant Based,WhiteBox,False,Evasion,Serving,NLP,Classification,no,Manipulates text input using gradients to cause misclassification.,69.32%,,"['CharCNN-LSTM', 'Kim’s CNN for binary sentiment classification']","[""AG's news dataset"", 'SST dataset']",http://arxiv.org/abs/1712.06751
0.0,132_HotFlipWhiteBoxAdversarialExamplesforTextClassification.pdf,HotFlip,Integrity,Gradient Based,WhiteBox,False,Evasion,Serving,NLP,Classification,no,Gradient-based text manipulation for misclassification.,69.32%,,"['CharCNN-LSTM', 'Kim’s CNN']","[""AG's news"", 'SST']",http://arxiv.org/abs/1712.06751
0.0,133_SemanticallyequivalentadversarialrulesfordebuggingNLPmodels.pdf,SEAR,Integrity,Interactive,BlackBox,False,Evasion,Serving,NLP,Classification,no,Perturbations preserving semantics but changing model prediction,Not explicitly stated,,"BiDAF, fastText, VQA model","SQuAD, Rotten Tomato movie reviews, VQA dataset",Not provided
0.0,136_AdversarialattacksonmachinelearningcybersecuritydefencesinIndustrialControlSystems.pdf,JSMA,Integrity,Gradient Based,WhiteBox,False,Evasion,Serving,Cyber,Classification,no,Uses JSMA to generate adversarial samples,8.5%,,"['Random Forest', 'J48']",Power system,https://doi.org/10.1016/j.jisa.2020.102717
0.0,137_ModelingRealisticAdversarialAttacksagainstNetworkIntrusionDetectionSystems.pdf,Not applicable (Framework for evaluating attacks),Availability,"Interactive, Transferable, Gradient Based","Varies (WhiteBox, BlackBox)",False,"Evasion, Poisoning","Training, Serving",Cyber,Classification,No,Framework for realistic attack evaluation,Varies,Not applicable,Varies (ML-NIDS models),"Varies (e.g., KDD99, CTU-13, Botnet2014, IDS2017, CICIDS2018)",https://doi.org/10.1145/3469659
0.0,137_ModelingRealisticAdversarialAttacksagainstNetworkIntrusionDetectionSystems.pdf,N/A,Availability,Varies,Varies,False,Varies,Varies,Cyber,Classification,No,Evaluates realism of adversarial attacks on ML-NIDS,,,ML-NIDS,Multiple,https://doi.org/10.1145/3469659
0.0,138_AnAdversarialApproachforIntrusionDetectionSystemsUsingJacobianSaliencyMapAttacksJSMAAlgorithm.pdf,JSMA,Integrity,Gradient Based,WhiteBox,False,Evasion,Serving,Cyber,Classification,No,Crafts adversarial samples to evade IDS,,,"['RNN-ADV', 'MLP']",NSL-KDD,https://www.mdpi.com/2073-431X/9/3/58
0.0,13_DemiguiseAttackCraftingInvisibleSemanticAdversarialPerturbationswithPerceptualSimilarity.pdf,Demiguise-C&W,Integrity,Interactive,BlackBox,False,Evasion,Serving,Computer Vision,Classification,yes,Combines C&W attack with Perceptual Similarity.,Not provided,,"['ResNet', 'VGG', 'Inception-v3', 'MobileNet-v2']",['ImageNet'],Not provided
0.0,13_DemiguiseAttackCraftingInvisibleSemanticAdversarialPerturbationswithPerceptualSimilarity.pdf,Demiguise-MI-FGSM,Integrity,Interactive,BlackBox,False,Evasion,Serving,Computer Vision,Classification,yes,Combines MI-FGSM with Perceptual Similarity.,Not provided,,"['ResNet', 'VGG', 'Inception-v3', 'MobileNet-v2']",['ImageNet'],Not provided
0.0,13_DemiguiseAttackCraftingInvisibleSemanticAdversarialPerturbationswithPerceptualSimilarity.pdf,Demiguise-HSJA,Integrity,Interactive,BlackBox,False,Evasion,Serving,Computer Vision,Classification,yes,Combines HSJA with Perceptual Similarity.,Not provided,,"['ResNet', 'VGG', 'Inception-v3', 'MobileNet-v2']",['ImageNet'],Not provided
0.0,141_IDSGANGenerativeAdversarialNetworksforAttackGenerationAgainstIntrusionDetection.pdf,IDSGAN,Integrity,Black box,BlackBox,False,Evasion,Serving,Network,Classification,no,Evades IDS in black-box setting.,High,,"['SVM', 'NB', 'MLP', 'LR', 'DT', 'RF', 'KNN']",NSL-KDD,
0.0,142_ManintheMiddleAttacksAgainstMachineLearningClassifiersViaMaliciousGenerativeModels.pdf,MVD,Integrity,Gradient Based,WhiteBox,False,Evasion,Serving,Computer Vision,Classification,no,MVD generates adversarial examples.,95%,0.0,['DNN'],"['MNIST', 'CIFAR-10']",https://arxiv.org/abs/1903.05789
0.0,142_ManintheMiddleAttacksAgainstMachineLearningClassifiersViaMaliciousGenerativeModels.pdf,MVD,Integrity,Interactive,BlackBox,False,Evasion,Serving,Computer Vision,Classification,no,MVD generates adversarial examples.,90%,0.0,['DNN'],"['MNIST', 'CIFAR-10']",https://arxiv.org/abs/1903.05789
0.0,143_AdvDropAdversarialAttacktoDNNsbyDroppingInformation.pdf,AdvDrop,Integrity,Gradient Based,WhiteBox,False,Evasion,Serving,Computer Vision,Classification,no,Drops details to craft adversarial examples.,99.95%,,['ResNet50'],['ImageNet'],https://github.com/RjDuan/AdvDrop
0.0,147_AdvhatRealworldadversarialattackonarcfacefaceidsystem.pdf,AdvHat,Integrity,Gradient Based,WhiteBox,False,Evasion,Serving,Computer Vision,Classification,yes,Adversarial sticker on hat deceives Face ID.,,>0.5 reduction,"['LResNet100E-IR, ArcFace@ms1m-refine-v2', 'LResNet50E-IR', 'LResNet34E-IR', 'MobileFaceNet']",CASIA-WebFace,https://github.com/papermsucode/advhat
0.0,148_PracticalAdversarialAttacksAgainstSpeakerRecognitionSystems.pdf,Practical Adversarial Attacks Against Speaker Recognition Systems,Integrity,Gradiant Based,WhiteBox,False,Evasion,Serving,Speech,Classification,yes,Adding inconspicuous noise to audio to fool speaker recognition.,98%,50%,['X-vector speaker recognition system'],['CSTR VCTK Corpus'],https://doi.org/10.1145/3376897.3377856
0.0,149_RaySARaySearchingMethodforHardlabelAdversarialAttack.pdf,RayS,Integrity,Interactive,BlackBox,False,Evasion,Serving,Computer Vision,Classification,no,Query-efficient decision-based attack.,100%,,"['MNIST CNN', 'CIFAR-10 CNN', 'ResNet-50', 'InceptionV3']","['MNIST', 'CIFAR-10', 'ImageNet']",https://doi.org/10.1145/3394486.3403225
0.0,14_Anatomicalcontextprotectsdeeplearningfromadversarialperturbationsinmedicalimaging.pdf,Age Prediction Perturbation,Integrity,Gradient Based,WhiteBox,False,Evasion,Serving,Computer Vision,Regression,no,Maximize or minimize predicted age using DNN.,,,['Conventional DNN'],"7 datasets, T1w 3D MRI, healthy subjects",https://doi.org/10.1016/j.neucom.2019.10.085
0.0,14_Anatomicalcontextprotectsdeeplearningfromadversarialperturbationsinmedicalimaging.pdf,Hybrid Model Perturbation,Integrity,Gradient Based,WhiteBox,False,Evasion,Serving,Computer Vision,Regression,no,Perturbations on hybrid model with anatomical context.,,,['Hybrid Model'],"7 datasets, T1w 3D MRI, healthy subjects",https://doi.org/10.1016/j.neucom.2019.10.085
0.0,14_Anatomicalcontextprotectsdeeplearningfromadversarialperturbationsinmedicalimaging.pdf,Universal Age Prediction Perturbation,Integrity,Gradient Based,WhiteBox,False,Evasion,Serving,Computer Vision,Regression,no,Universal perturbation for batches on DNN.,,,['Conventional DNN'],"7 datasets, T1w 3D MRI, healthy subjects",https://doi.org/10.1016/j.neucom.2019.10.085
0.0,14_Anatomicalcontextprotectsdeeplearningfromadversarialperturbationsinmedicalimaging.pdf,Universal Hybrid Model Perturbation,Integrity,Gradient Based,WhiteBox,False,Evasion,Serving,Computer Vision,Regression,no,Universal perturbation for batches on hybrid model.,,,['Hybrid Model'],"7 datasets, T1w 3D MRI, healthy subjects",https://doi.org/10.1016/j.neucom.2019.10.085
0.0,150_TowardsTransferableAdversarialAttackagainstDeepFaceRecognition.pdf,DFANet,Integrity,Transferable,BlackBox,False,Evasion,Serving,Computer Vision,Classification,no,Uses dropout in convolutional layers to increase surrogate model diversity.,Significant enhancement,,"Various state-of-the-art face recognition models with different training databases, loss functions, and network architectures","LFW, TALFW",https://arxiv.org/abs/2002.09750
0.0,150_TowardsTransferableAdversarialAttackagainstDeepFaceRecognition.pdf,DFANet,Integrity,Transferable,BlackBox,False,Evasion,Serving,Computer Vision,Classification,no,Increases model diversity via dropout in convolutional layers.,Significant enhancement,,State-of-the-art face recognition models,"LFW, TALFW",https://arxiv.org/abs/2002.09750
